Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
South Carolina,United States,3/4/2021 5:30,33.8569,-80.945,519996,8620,230793,280583,45,10099.53165,5078144,,1.657705059,84000045,USA,98629.36648,
South Dakota,United States,3/4/2021 5:30,44.2998,-99.4388,112833,1893,108947,1993,46,12754.40593,424345,,1.677700673,84000046,USA,47967.0698,
Tennessee,United States,3/4/2021 5:30,35.7478,-86.6923,772276,11459,752966,8073,47,11311.73404,6817121,,1.483369536,84000047,USA,99823.50721,
Texas,United States,3/4/2021 5:30,31.0545,-97.5635,2710724,44463,2450229,216032,48,9348.651969,19707655,,1.640262897,84000048,USA,67967.0847,
Utah,United States,3/4/2021 5:30,40.15,-111.8624,372708,1955,355033,15720,49,11625.47981,2876176,,0.524539318,84000049,USA,89713.46474,
Vermont,United States,3/4/2021 5:30,44.0459,-72.7107,15487,207,12842,2438,50,2481.934778,1083198,,1.336604894,84000050,USA,173592.4832,
Virgin Islands,United States,3/4/2021 5:30,18.3358,-64.8963,2695,25,2539,131,78,2512.398851,48536,,0.927643785,850,VIR,45247.41768,
Virginia,United States,3/4/2021 5:30,37.7693,-78.17,580108,9326,,,51,6796.399844,5946972,,1.607631682,84000051,USA,69673.23252,
Washington,United States,3/4/2021 5:30,47.4009,-121.4905,342236,5012,,,53,4494.298213,5301508,,1.464486495,84000053,USA,69620.25599,
West Virginia,United States,3/4/2021 5:30,38.4912,-80.9545,132416,2309,123656,6451,54,7388.679612,2224809,,1.743746979,84000054,USA,124142.1044,
Wisconsin,United States,3/4/2021 5:30,44.2685,-89.6165,619087,7069,551329,60689,55,10632.78691,6970553,,1.141842746,84000055,USA,119718.8839,
Wyoming,United States,3/4/2021 5:30,42.756,-107.3025,54616,682,53375,559,56,9436.7431,643476,,1.248718324,84000056,USA,111182.0291,
